age_days,authoritative,evidence_id,path,status,version
69,False,PROJECT_CHARTER,shared/project_charter.docx,AVAILABLE,4
166,False,BUSINESS_CASE,gate_evidence/general/business_case.csv,AVAILABLE,5
68,True,BUDGET_APPROVAL,gate_evidence/general/budget_approval.csv,AVAILABLE,2
101,False,ACTION_REGISTER,shared/action_register.csv,AVAILABLE,4
27,False,BENEFITS_PLAN,gate_evidence/general/benefits_plan.docx,AVAILABLE,1
6,True,PORTFOLIO_SNAPSHOT,gate_evidence/general/portfolio_snapshot.csv,AVAILABLE,4
140,False,COMMITTEE_BRIEFING,gate_evidence/general/committee_briefing.docx,AVAILABLE,3
70,True,CMDB_EXPORT,gate_evidence/it/cmdb_export.csv,UNAVAILABLE,5
135,True,TECH_CATALOG,gate_evidence/it/technology_catalog.json,AVAILABLE,1
81,True,LICENSE_POSITION,gate_evidence/it/license_position.csv,UNAVAILABLE,1
178,True,LIFECYCLE_REGISTER,gate_evidence/it/lifecycle_eol.csv,AVAILABLE,2
19,False,SUPPORT_RACI,gate_evidence/it/support_raci.docx,AVAILABLE,1
176,True,ITSM_CHANGE,gate_evidence/it/itsm_change.csv,AVAILABLE,3
68,True,CAPACITY_REPORT,gate_evidence/it/capacity_report.csv,UNAVAILABLE,5
107,False,TECH_WAIVER,gate_evidence/it/technology_waiver.docx,NOT_APPLICABLE,2
134,False,HLD,gate_evidence/architecture/Architecture_Diagram_Detailed.svg,AVAILABLE,4
70,False,LLD,gate_evidence/architecture/LLD_Architecture_Notes.docx,AVAILABLE,1
81,False,FLOW_MATRIX,gate_evidence/architecture/flow_matrix.csv,AVAILABLE,4
138,False,OPENAPI,gate_evidence/architecture/openapi.yaml,AVAILABLE,3
8,False,DATA_MODEL,gate_evidence/architecture/data_model.json,AVAILABLE,4
47,False,DATA_LINEAGE,gate_evidence/architecture/data_lineage.csv,AVAILABLE,3
136,True,IP_PLAN,gate_evidence/architecture/ip_plan.csv,UNAVAILABLE,1
78,False,ADR_REGISTER,gate_evidence/architecture/adr_register.csv,AVAILABLE,2
115,False,ARCH_DEBT,gate_evidence/architecture/architecture_debt.csv,AVAILABLE,3
97,True,AZURE_RESOURCE_GRAPH,gate_evidence/security/azure_resource_graph.json,AVAILABLE,4
147,True,IAM_EXPORT,gate_evidence/security/entra_role_assignments.csv,AVAILABLE,3
115,True,CONDITIONAL_ACCESS,gate_evidence/security/conditional_access.json,AVAILABLE,1
86,True,NSG_RULES,gate_evidence/security/nsg_rules.csv,AVAILABLE,5
21,True,WAF_POLICY,gate_evidence/security/waf_policy.json,AVAILABLE,5
67,True,SENTINEL_STATUS,gate_evidence/security/sentinel_connectors.json,AVAILABLE,3
44,True,FIREWALL_POLICY,gate_evidence/security/firewall_policy.json,AVAILABLE,2
77,True,KEYVAULT_CONFIG,gate_evidence/security/keyvault_configuration.json,AVAILABLE,5
100,True,DEFENDER_FINDINGS,gate_evidence/security/defender_findings.csv,AVAILABLE,4
48,True,VULN_SCAN,gate_evidence/security/vulnerability_scan.csv,AVAILABLE,4
47,False,PENTEST,gate_evidence/security/pentest_report.docx,AVAILABLE,5
18,False,THREAT_MODEL,gate_evidence/security/threat_model.docx,AVAILABLE,4
45,True,BACKUP_JOBS,gate_evidence/tech_readiness/backup_jobs.csv,AVAILABLE,5
25,True,RESTORE_TEST,gate_evidence/tech_readiness/restore_test.csv,AVAILABLE,3
14,True,FAILOVER_TEST,gate_evidence/tech_readiness/failover_test.csv,AVAILABLE,3
144,True,LOAD_TEST,gate_evidence/tech_readiness/load_test.csv,UNAVAILABLE,1
80,True,CI_PIPELINE,gate_evidence/tech_readiness/ci_pipeline.json,AVAILABLE,2
170,False,RUNBOOK,gate_evidence/tech_readiness/production_runbook.docx,AVAILABLE,2
109,True,ROLLBACK_TEST,gate_evidence/tech_readiness/rollback_test.csv,AVAILABLE,3
11,True,SLO_SLI,gate_evidence/tech_readiness/slo_sli.csv,AVAILABLE,3
165,True,MONITOR_ALERTS,gate_evidence/tech_readiness/monitor_alerts.csv,UNAVAILABLE,3
2,False,RFP,gate_evidence/procurement/RFP.docx,AVAILABLE,2
58,False,VENDOR_OFFERS,gate_evidence/procurement/vendor_offers.csv,AVAILABLE,4
42,False,SCORING_MATRIX,gate_evidence/procurement/scoring_matrix.csv,AVAILABLE,4
145,True,DUE_DILIGENCE,gate_evidence/procurement/due_diligence.csv,AVAILABLE,1
138,False,PRICING_TCO,gate_evidence/procurement/pricing_tco.csv,AVAILABLE,2
15,False,VENDOR_EVIDENCE_REQUEST,gate_evidence/procurement/vendor_evidence_request.docx,AVAILABLE,3
72,False,MSA,gate_evidence/legal/MSA.docx,AVAILABLE,2
113,False,DPA,gate_evidence/legal/DPA.docx,AVAILABLE,2
119,False,SLA_ANNEX,gate_evidence/legal/SLA_Annex.docx,AVAILABLE,5
61,False,INSURANCE,gate_evidence/legal/Insurance_Certificate.docx,AVAILABLE,1
177,True,SIGNING_AUTHORITY,gate_evidence/legal/signing_authority.csv,AVAILABLE,1
120,True,CONTRACT_PLAYBOOK,gate_evidence/legal/contract_playbook.json,AVAILABLE,4
25,False,NEGOTIATION_LOG,gate_evidence/legal/negotiation_log.docx,AVAILABLE,3
150,True,DATA_INVENTORY,gate_evidence/compliance/data_inventory.csv,AVAILABLE,2
116,True,ROPA,gate_evidence/compliance/ropa.csv,AVAILABLE,5
78,False,DPIA,gate_evidence/compliance/DPIA.docx,AVAILABLE,5
176,True,REG_MAPPING,gate_evidence/compliance/regulatory_mapping.csv,AVAILABLE,1
22,True,RETENTION,gate_evidence/compliance/retention_schedule.csv,AVAILABLE,3
146,False,ACCESSIBILITY,gate_evidence/compliance/accessibility_report.csv,AVAILABLE,3
94,True,CONTROL_MATRIX,gate_evidence/compliance/control_matrix.csv,UNAVAILABLE,3
78,True,EXPORT_CONTROL,gate_evidence/compliance/export_control.csv,AVAILABLE,5
58,False,AI_IMPACT,gate_evidence/compliance/AI_Impact_Assessment.docx,AVAILABLE,4
0,True,REVIEW_FACTS_GENERAL,gate_evidence/general/review_facts.json,AVAILABLE,1
0,True,REVIEW_FACTS_IT,gate_evidence/it/review_facts.json,AVAILABLE,1
0,True,REVIEW_FACTS_ARCHITECTURE,gate_evidence/architecture/review_facts.json,AVAILABLE,1
0,True,REVIEW_FACTS_SECURITY,gate_evidence/security/review_facts.json,AVAILABLE,1
